Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,3.11594050842,0.631076558668,2.28765252517,nan,-0.197211424584,-0.197211424584,nan,0.631076558668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.631076558668,0.631076558668,0.631076558668,nan,nan,nan,nan,nan,0.631076558668,0.631076558668,0.631076558668,-0.197211424584
NC_004741,3.11594050842,0,1.45936454192,-0.197211424584,nan,2.28765252517,2.28765252517,nan,1.45936454192,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.45936454192,1.45936454192,1.45936454192,nan,nan,nan,nan,nan,1.45936454192,1.45936454192,1.45936454192,2.28765252517
NC_003198,0.631076558668,1.45936454192,0,0.631076558668,nan,-0.197211424584,-0.197211424584,nan,-1.02549940783,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.02549940783,-1.02549940783,-1.02549940783,nan,nan,nan,nan,nan,-1.02549940783,-1.02549940783,-1.02549940783,-0.197211424584
NC_003143,2.28765252517,-0.197211424584,0.631076558668,0,nan,1.45936454192,1.45936454192,nan,0.631076558668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.631076558668,0.631076558668,0.631076558668,nan,nan,nan,nan,nan,0.631076558668,0.631076558668,0.631076558668,1.45936454192
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,-0.197211424584,2.28765252517,-0.197211424584,1.45936454192,nan,0,-1.02549940783,nan,-0.197211424584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.197211424584,-0.197211424584,-0.197211424584,nan,nan,nan,nan,nan,-0.197211424584,-0.197211424584,-0.197211424584,-1.02549940783
NC_000907,-0.197211424584,2.28765252517,-0.197211424584,1.45936454192,nan,-1.02549940783,0,nan,-0.197211424584,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.197211424584,-0.197211424584,-0.197211424584,nan,nan,nan,nan,nan,-0.197211424584,-0.197211424584,-0.197211424584,-1.02549940783
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,0.631076558668,1.45936454192,-1.02549940783,0.631076558668,nan,-0.197211424584,-0.197211424584,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.02549940783,-1.02549940783,-1.02549940783,nan,nan,nan,nan,nan,-1.02549940783,-1.02549940783,-1.02549940783,-0.197211424584
NC_004603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
