Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,1.55424724443,-0.787769151288,nan,nan,nan,nan,nan,nan,nan,-0.787769151288,nan,-0.787769151288,nan,nan,nan,nan,nan,nan,nan,0.383239046572,0.383239046572,1.55424724443,nan,nan,nan,nan,nan,0.383239046572,nan,nan,1.55424724443,nan
NC_004741,1.55424724443,0,0.383239046572,nan,nan,nan,nan,nan,nan,nan,0.383239046572,nan,0.383239046572,nan,nan,nan,nan,nan,nan,nan,1.55424724443,-0.787769151288,0.383239046572,nan,nan,nan,nan,nan,1.55424724443,nan,nan,0.383239046572,nan
NC_003198,-0.787769151288,0.383239046572,0,nan,nan,nan,nan,nan,nan,nan,0.383239046572,nan,0.383239046572,nan,nan,nan,nan,nan,nan,nan,1.55424724443,-0.787769151288,0.383239046572,nan,nan,nan,nan,nan,1.55424724443,nan,nan,0.383239046572,nan
NC_003143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_000907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002947,-0.787769151288,0.383239046572,0.383239046572,nan,nan,nan,nan,nan,nan,nan,0,nan,-1.95877734915,nan,nan,nan,nan,nan,nan,nan,-0.787769151288,-0.787769151288,0.383239046572,nan,nan,nan,nan,nan,-0.787769151288,nan,nan,0.383239046572,nan
NC_004578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002516,-0.787769151288,0.383239046572,0.383239046572,nan,nan,nan,nan,nan,nan,nan,-1.95877734915,nan,0,nan,nan,nan,nan,nan,nan,nan,-0.787769151288,-0.787769151288,0.383239046572,nan,nan,nan,nan,nan,-0.787769151288,nan,nan,0.383239046572,nan
NC_004347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003295,0.383239046572,1.55424724443,1.55424724443,nan,nan,nan,nan,nan,nan,nan,-0.787769151288,nan,-0.787769151288,nan,nan,nan,nan,nan,nan,nan,0,0.383239046572,-0.787769151288,nan,nan,nan,nan,nan,-1.95877734915,nan,nan,-0.787769151288,nan
NC_002927,0.383239046572,-0.787769151288,-0.787769151288,nan,nan,nan,nan,nan,nan,nan,-0.787769151288,nan,-0.787769151288,nan,nan,nan,nan,nan,nan,nan,0.383239046572,0,-0.787769151288,nan,nan,nan,nan,nan,0.383239046572,nan,nan,-0.787769151288,nan
NC_002928,1.55424724443,0.383239046572,0.383239046572,nan,nan,nan,nan,nan,nan,nan,0.383239046572,nan,0.383239046572,nan,nan,nan,nan,nan,nan,nan,-0.787769151288,-0.787769151288,0,nan,nan,nan,nan,nan,-0.787769151288,nan,nan,-1.95877734915,nan
NC_002929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005090,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002678,0.383239046572,1.55424724443,1.55424724443,nan,nan,nan,nan,nan,nan,nan,-0.787769151288,nan,-0.787769151288,nan,nan,nan,nan,nan,nan,nan,-1.95877734915,0.383239046572,-0.787769151288,nan,nan,nan,nan,nan,0,nan,nan,-0.787769151288,nan
NC_003062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004463,1.55424724443,0.383239046572,0.383239046572,nan,nan,nan,nan,nan,nan,nan,0.383239046572,nan,0.383239046572,nan,nan,nan,nan,nan,nan,nan,-0.787769151288,-0.787769151288,-1.95877734915,nan,nan,nan,nan,nan,-0.787769151288,nan,nan,0,nan
NC_002696,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
