Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,-1.2947085767,0.598802716725,nan,nan,1.86114357901,1.86114357901,nan,1.22997314787,1.86114357901,1.22997314787,nan,0.598802716725,nan,nan,nan,nan,nan,1.86114357901,nan,nan,nan,nan,nan,nan,0.598802716725,nan,nan,1.22997314787,nan,nan,nan,nan
NC_004741,-1.2947085767,0,0.598802716725,nan,nan,1.86114357901,1.86114357901,nan,1.22997314787,1.86114357901,1.22997314787,nan,0.598802716725,nan,nan,nan,nan,nan,1.86114357901,nan,nan,nan,nan,nan,nan,0.598802716725,nan,nan,1.22997314787,nan,nan,nan,nan
NC_003198,0.598802716725,0.598802716725,0,nan,nan,-0.0323677144175,-0.0323677144175,nan,-0.66353814556,-0.0323677144175,-0.66353814556,nan,-1.2947085767,nan,nan,nan,nan,nan,-0.0323677144175,nan,nan,nan,nan,nan,nan,-1.2947085767,nan,nan,-0.66353814556,nan,nan,nan,nan
NC_003143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,1.86114357901,1.86114357901,-0.0323677144175,nan,nan,0,-1.2947085767,nan,-0.66353814556,-1.2947085767,-0.66353814556,nan,-0.0323677144175,nan,nan,nan,nan,nan,-1.2947085767,nan,nan,nan,nan,nan,nan,-0.0323677144175,nan,nan,-0.66353814556,nan,nan,nan,nan
NC_000907,1.86114357901,1.86114357901,-0.0323677144175,nan,nan,-1.2947085767,0,nan,-0.66353814556,-1.2947085767,-0.66353814556,nan,-0.0323677144175,nan,nan,nan,nan,nan,-1.2947085767,nan,nan,nan,nan,nan,nan,-0.0323677144175,nan,nan,-0.66353814556,nan,nan,nan,nan
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,1.22997314787,1.22997314787,-0.66353814556,nan,nan,-0.66353814556,-0.66353814556,nan,0,-0.66353814556,-1.2947085767,nan,-0.66353814556,nan,nan,nan,nan,nan,-0.66353814556,nan,nan,nan,nan,nan,nan,-0.66353814556,nan,nan,-1.2947085767,nan,nan,nan,nan
NC_004603,1.86114357901,1.86114357901,-0.0323677144175,nan,nan,-1.2947085767,-1.2947085767,nan,-0.66353814556,0,-0.66353814556,nan,-0.0323677144175,nan,nan,nan,nan,nan,-1.2947085767,nan,nan,nan,nan,nan,nan,-0.0323677144175,nan,nan,-0.66353814556,nan,nan,nan,nan
