Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,-1.18151307837,-1.18151307837,nan,nan,-1.18151307837,-1.18151307837,nan,-1.18151307837,-0.295378269593,0.590756539186,nan,0.590756539186,nan,nan,nan,nan,nan,-1.18151307837,nan,nan,nan,nan,nan,nan,0.590756539186,nan,nan,1.47689134796,nan,nan,nan,nan
NC_004741,-1.18151307837,0,-1.18151307837,nan,nan,-1.18151307837,-1.18151307837,nan,-1.18151307837,-0.295378269593,0.590756539186,nan,0.590756539186,nan,nan,nan,nan,nan,-1.18151307837,nan,nan,nan,nan,nan,nan,0.590756539186,nan,nan,1.47689134796,nan,nan,nan,nan
NC_003198,-1.18151307837,-1.18151307837,0,nan,nan,-1.18151307837,-1.18151307837,nan,-1.18151307837,-0.295378269593,0.590756539186,nan,0.590756539186,nan,nan,nan,nan,nan,-1.18151307837,nan,nan,nan,nan,nan,nan,0.590756539186,nan,nan,1.47689134796,nan,nan,nan,nan
NC_003143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,-1.18151307837,-1.18151307837,-1.18151307837,nan,nan,0,-1.18151307837,nan,-1.18151307837,-0.295378269593,0.590756539186,nan,0.590756539186,nan,nan,nan,nan,nan,-1.18151307837,nan,nan,nan,nan,nan,nan,0.590756539186,nan,nan,1.47689134796,nan,nan,nan,nan
NC_000907,-1.18151307837,-1.18151307837,-1.18151307837,nan,nan,-1.18151307837,0,nan,-1.18151307837,-0.295378269593,0.590756539186,nan,0.590756539186,nan,nan,nan,nan,nan,-1.18151307837,nan,nan,nan,nan,nan,nan,0.590756539186,nan,nan,1.47689134796,nan,nan,nan,nan
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,-1.18151307837,-1.18151307837,-1.18151307837,nan,nan,-1.18151307837,-1.18151307837,nan,0,-0.295378269593,0.590756539186,nan,0.590756539186,nan,nan,nan,nan,nan,-1.18151307837,nan,nan,nan,nan,nan,nan,0.590756539186,nan,nan,1.47689134796,nan,nan,nan,nan
NC_004603,-0.295378269593,-0.295378269593,-0.295378269593,nan,nan,-0.295378269593,-0.295378269593,nan,-0.295378269593,0,1.47689134796,nan,1.47689134796,nan,nan,nan,nan,nan,-0.295378269593,nan,nan,nan,nan,nan,nan,1.47689134796,nan,nan,0.590756539186,nan,nan,nan,nan
NC_002947,0.590756539186,0.590756539186,0.590756539186,nan,nan,0.590756539186,0.590756539186,nan,0.590756539186,1.47689134796,0,nan,0.590756539186,nan,nan,nan,nan,nan,0.590756539186,nan,nan,nan,nan,nan,nan,0.590756539186,nan,nan,1.47689134796,nan,nan,nan,nan
NC_004578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002516,0.590756539186,0.590756539186,0.590756539186,nan,nan,0.590756539186,0.590756539186,nan,0.590756539186,1.47689134796,0.590756539186,nan,0,nan,nan,nan,nan,nan,0.590756539186,nan,nan,nan,nan,nan,nan,0.590756539186,nan,nan,-0.295378269593,nan,nan,nan,nan
NC_004347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
