Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,-1.19822793302,-1.19822793302,-1.19822793302,nan,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_004741,-1.19822793302,0,-1.19822793302,-1.19822793302,nan,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_003198,-1.19822793302,-1.19822793302,0,-1.19822793302,nan,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_003143,-1.19822793302,-1.19822793302,-1.19822793302,0,nan,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,nan,0,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_000907,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,nan,-1.19822793302,0,-1.19822793302,-1.19822793302,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_005061,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,nan,-1.19822793302,-1.19822793302,0,-1.19822793302,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_004459,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,nan,-1.19822793302,-1.19822793302,-1.19822793302,0,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_004603,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,nan,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,0,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_002947,1.4079178213,1.4079178213,1.4079178213,1.4079178213,nan,1.4079178213,1.4079178213,1.4079178213,1.4079178213,1.4079178213,0,0.104844944139,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,-1.19822793302,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,1.4079178213,1.4079178213,nan,nan,-1.19822793302,nan,0.104844944139,0.104844944139
NC_004578,0.104844944139,0.104844944139,0.104844944139,0.104844944139,nan,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,nan,nan,0.104844944139,nan,-1.19822793302,-1.19822793302
NC_002516,1.4079178213,1.4079178213,1.4079178213,1.4079178213,nan,1.4079178213,1.4079178213,1.4079178213,1.4079178213,1.4079178213,-1.19822793302,0.104844944139,0,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,-1.19822793302,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,1.4079178213,1.4079178213,nan,nan,-1.19822793302,nan,0.104844944139,0.104844944139
NC_004347,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,nan,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,0,1.4079178213,-1.19822793302,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_002488,1.4079178213,1.4079178213,1.4079178213,1.4079178213,nan,1.4079178213,1.4079178213,1.4079178213,1.4079178213,1.4079178213,-1.19822793302,0.104844944139,-1.19822793302,1.4079178213,0,1.4079178213,-1.19822793302,-1.19822793302,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,1.4079178213,1.4079178213,nan,nan,-1.19822793302,nan,0.104844944139,0.104844944139
NC_003919,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,nan,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,1.4079178213,0.104844944139,1.4079178213,-1.19822793302,1.4079178213,0,1.4079178213,1.4079178213,1.4079178213,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,1.4079178213,-1.19822793302,-1.19822793302,nan,nan,1.4079178213,nan,0.104844944139,0.104844944139
NC_007086,1.4079178213,1.4079178213,1.4079178213,1.4079178213,nan,1.4079178213,1.4079178213,1.4079178213,1.4079178213,1.4079178213,-1.19822793302,0.104844944139,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,0,-1.19822793302,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,1.4079178213,1.4079178213,nan,nan,-1.19822793302,nan,0.104844944139,0.104844944139
NC_003112,1.4079178213,1.4079178213,1.4079178213,1.4079178213,nan,1.4079178213,1.4079178213,1.4079178213,1.4079178213,1.4079178213,-1.19822793302,0.104844944139,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,0,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,1.4079178213,1.4079178213,nan,nan,-1.19822793302,nan,0.104844944139,0.104844944139
NC_005085,1.4079178213,1.4079178213,1.4079178213,1.4079178213,nan,1.4079178213,1.4079178213,1.4079178213,1.4079178213,1.4079178213,-1.19822793302,0.104844944139,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,-1.19822793302,0,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,1.4079178213,1.4079178213,nan,nan,-1.19822793302,nan,0.104844944139,0.104844944139
NC_004757,0.104844944139,0.104844944139,0.104844944139,0.104844944139,nan,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,nan,nan,0.104844944139,nan,-1.19822793302,-1.19822793302
NC_003295,0.104844944139,0.104844944139,0.104844944139,0.104844944139,nan,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,0,-1.19822793302,-1.19822793302,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,nan,nan,0.104844944139,nan,-1.19822793302,-1.19822793302
NC_002927,0.104844944139,0.104844944139,0.104844944139,0.104844944139,nan,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,-1.19822793302,0,-1.19822793302,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,nan,nan,0.104844944139,nan,-1.19822793302,-1.19822793302
NC_002928,0.104844944139,0.104844944139,0.104844944139,0.104844944139,nan,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,-1.19822793302,-1.19822793302,0,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,nan,nan,0.104844944139,nan,-1.19822793302,-1.19822793302
NC_002929,0.104844944139,0.104844944139,0.104844944139,0.104844944139,nan,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,-1.19822793302,-1.19822793302,-1.19822793302,-1.19822793302,0,0.104844944139,0.104844944139,0.104844944139,nan,nan,0.104844944139,nan,-1.19822793302,-1.19822793302
NC_005090,1.4079178213,1.4079178213,1.4079178213,1.4079178213,nan,1.4079178213,1.4079178213,1.4079178213,1.4079178213,1.4079178213,-1.19822793302,0.104844944139,-1.19822793302,1.4079178213,-1.19822793302,1.4079178213,-1.19822793302,-1.19822793302,-1.19822793302,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0.104844944139,0,1.4079178213,1.4079178213,nan,nan,-1.19822793302,nan,0.104844944139,0.104844944139
