Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,0.566722486958,-0.775514982153,nan,nan,nan,nan,nan,nan,nan,1.23784122151,1.23784122151,1.90895995607,1.90895995607,nan,nan,nan,nan,1.23784122151,nan,nan,nan,nan,nan,1.23784122151,nan,nan,nan,nan,nan,nan,nan,nan
NC_004741,0.566722486958,0,-0.775514982153,nan,nan,nan,nan,nan,nan,nan,-0.104396247598,-0.104396247598,-0.775514982153,0.566722486958,nan,nan,nan,nan,-0.104396247598,nan,nan,nan,nan,nan,-0.104396247598,nan,nan,nan,nan,nan,nan,nan,nan
NC_003198,-0.775514982153,-0.775514982153,0,nan,nan,nan,nan,nan,nan,nan,-0.104396247598,-0.104396247598,0.566722486958,0.566722486958,nan,nan,nan,nan,-0.104396247598,nan,nan,nan,nan,nan,-0.104396247598,nan,nan,nan,nan,nan,nan,nan,nan
NC_003143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_000907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002947,1.23784122151,-0.104396247598,-0.104396247598,nan,nan,nan,nan,nan,nan,nan,0,-2.11775245127,-1.44663371671,1.23784122151,nan,nan,nan,nan,0.566722486958,nan,nan,nan,nan,nan,0.566722486958,nan,nan,nan,nan,nan,nan,nan,nan
NC_004578,1.23784122151,-0.104396247598,-0.104396247598,nan,nan,nan,nan,nan,nan,nan,-2.11775245127,0,-1.44663371671,1.23784122151,nan,nan,nan,nan,0.566722486958,nan,nan,nan,nan,nan,0.566722486958,nan,nan,nan,nan,nan,nan,nan,nan
NC_002516,1.90895995607,-0.775514982153,0.566722486958,nan,nan,nan,nan,nan,nan,nan,-1.44663371671,-1.44663371671,0,0.566722486958,nan,nan,nan,nan,-0.104396247598,nan,nan,nan,nan,nan,-0.104396247598,nan,nan,nan,nan,nan,nan,nan,nan
NC_004347,1.90895995607,0.566722486958,0.566722486958,nan,nan,nan,nan,nan,nan,nan,1.23784122151,1.23784122151,0.566722486958,0,nan,nan,nan,nan,-1.44663371671,nan,nan,nan,nan,nan,-1.44663371671,nan,nan,nan,nan,nan,nan,nan,nan
NC_002488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005085,1.23784122151,-0.104396247598,-0.104396247598,nan,nan,nan,nan,nan,nan,nan,0.566722486958,0.566722486958,-0.104396247598,-1.44663371671,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,-2.11775245127,nan,nan,nan,nan,nan,nan,nan,nan
NC_004757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005090,1.23784122151,-0.104396247598,-0.104396247598,nan,nan,nan,nan,nan,nan,nan,0.566722486958,0.566722486958,-0.104396247598,-1.44663371671,nan,nan,nan,nan,-2.11775245127,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_002163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
