Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.670910566738,-0.0523759178494,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.0523759178494,-0.0523759178494,1.80322802882,0.566158731039,0.566158731039,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,nan,nan,nan,1.18469337993,1.80322802882,1.80322802882,1.80322802882,1.80322802882,1.18469337993
NC_004741,-1.28944521563,0,-1.28944521563,-1.28944521563,-0.0523759178494,-0.670910566738,-0.0523759178494,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.0523759178494,-0.0523759178494,1.80322802882,0.566158731039,0.566158731039,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,nan,nan,nan,1.18469337993,1.80322802882,1.80322802882,1.80322802882,1.80322802882,1.18469337993
NC_003198,-1.28944521563,-1.28944521563,0,-1.28944521563,-0.0523759178494,-0.670910566738,-0.0523759178494,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.0523759178494,-0.0523759178494,1.80322802882,0.566158731039,0.566158731039,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,nan,nan,nan,1.18469337993,1.80322802882,1.80322802882,1.80322802882,1.80322802882,1.18469337993
NC_003143,-1.28944521563,-1.28944521563,-1.28944521563,0,-0.0523759178494,-0.670910566738,-0.0523759178494,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.0523759178494,-0.0523759178494,1.80322802882,0.566158731039,0.566158731039,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,nan,nan,nan,1.18469337993,1.80322802882,1.80322802882,1.80322802882,1.80322802882,1.18469337993
NC_011833,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,0,-0.670910566738,-1.28944521563,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,-1.28944521563,-1.28944521563,-1.28944521563,0.566158731039,-0.670910566738,-0.670910566738,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,nan,nan,nan,-0.0523759178494,0.566158731039,0.566158731039,0.566158731039,0.566158731039,-0.0523759178494
NC_002663,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,0,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,1.18469337993,-0.0523759178494,-0.0523759178494,-0.670910566738,-0.670910566738,-0.670910566738,-0.670910566738,nan,nan,nan,0.566158731039,1.18469337993,1.18469337993,1.18469337993,1.18469337993,0.566158731039
NC_000907,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,-1.28944521563,-0.670910566738,0,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,-1.28944521563,-1.28944521563,-1.28944521563,0.566158731039,-0.670910566738,-0.670910566738,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,nan,nan,nan,-0.0523759178494,0.566158731039,0.566158731039,0.566158731039,0.566158731039,-0.0523759178494
NC_005061,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.670910566738,-0.0523759178494,0,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.0523759178494,-0.0523759178494,1.80322802882,0.566158731039,0.566158731039,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,nan,nan,nan,1.18469337993,1.80322802882,1.80322802882,1.80322802882,1.80322802882,1.18469337993
NC_004459,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.670910566738,-0.0523759178494,-1.28944521563,0,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.0523759178494,-0.0523759178494,1.80322802882,0.566158731039,0.566158731039,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,nan,nan,nan,1.18469337993,1.80322802882,1.80322802882,1.80322802882,1.80322802882,1.18469337993
NC_004603,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.670910566738,-0.0523759178494,-1.28944521563,-1.28944521563,0,-1.28944521563,-1.28944521563,-1.28944521563,-1.28944521563,-0.0523759178494,-0.0523759178494,-0.0523759178494,1.80322802882,0.566158731039,0.566158731039,-0.0523759178494,-0.0523759178494,-0.0523759178494,-0.0523759178494,nan,nan,nan,1.18469337993,1.80322802882,1.80322802882,1.80322802882,1.80322802882,1.18469337993
