Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,0.960076313695,1.34685865026,1.34685865026,nan,nan,nan,nan,1.34685865026,1.34685865026,-1.36061770571,0.573293977127,0.573293977127,0.960076313695,nan,nan,0.960076313695,nan,0.186511640559,1.73364098683,0.573293977127,-1.36061770571,-1.36061770571,-1.36061770571,nan,nan,nan,nan,0.960076313695,0.960076313695,0.960076313695,-0.973835369146,0.960076313695
NC_004741,0.960076313695,0,-0.973835369146,-0.973835369146,nan,nan,nan,nan,-0.973835369146,-0.973835369146,0.960076313695,-0.20027069601,-0.973835369146,-1.36061770571,nan,nan,-1.36061770571,nan,-0.587053032578,0.186511640559,-0.20027069601,0.960076313695,0.960076313695,0.960076313695,nan,nan,nan,nan,-1.36061770571,-1.36061770571,-1.36061770571,1.34685865026,-1.36061770571
NC_003198,1.34685865026,-0.973835369146,0,-0.587053032578,nan,nan,nan,nan,-1.36061770571,-1.36061770571,1.34685865026,0.186511640559,-0.587053032578,-0.973835369146,nan,nan,-0.973835369146,nan,-0.20027069601,-0.20027069601,0.186511640559,1.34685865026,1.34685865026,1.34685865026,nan,nan,nan,nan,-0.973835369146,-0.973835369146,-0.973835369146,1.73364098683,-0.973835369146
NC_003143,1.34685865026,-0.973835369146,-0.587053032578,0,nan,nan,nan,nan,-0.587053032578,-0.587053032578,1.34685865026,-0.587053032578,-0.587053032578,-0.973835369146,nan,nan,-0.973835369146,nan,-0.20027069601,0.573293977127,0.186511640559,1.34685865026,1.34685865026,1.34685865026,nan,nan,nan,nan,-0.973835369146,-0.973835369146,-0.973835369146,1.73364098683,-0.973835369146
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_000907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,1.34685865026,-0.973835369146,-1.36061770571,-0.587053032578,nan,nan,nan,nan,0,-1.36061770571,1.34685865026,0.186511640559,-0.587053032578,-0.973835369146,nan,nan,-0.973835369146,nan,-0.20027069601,-0.20027069601,0.186511640559,1.34685865026,1.34685865026,1.34685865026,nan,nan,nan,nan,-0.973835369146,-0.973835369146,-0.973835369146,1.73364098683,-0.973835369146
NC_004603,1.34685865026,-0.973835369146,-1.36061770571,-0.587053032578,nan,nan,nan,nan,-1.36061770571,0,1.34685865026,0.186511640559,-0.587053032578,-0.973835369146,nan,nan,-0.973835369146,nan,-0.20027069601,-0.20027069601,0.186511640559,1.34685865026,1.34685865026,1.34685865026,nan,nan,nan,nan,-0.973835369146,-0.973835369146,-0.973835369146,1.73364098683,-0.973835369146
NC_002947,-1.36061770571,0.960076313695,1.34685865026,1.34685865026,nan,nan,nan,nan,1.34685865026,1.34685865026,0,0.573293977127,0.573293977127,0.960076313695,nan,nan,0.960076313695,nan,0.186511640559,1.73364098683,0.573293977127,-1.36061770571,-1.36061770571,-1.36061770571,nan,nan,nan,nan,0.960076313695,0.960076313695,0.960076313695,-0.973835369146,0.960076313695
