Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,-1.07713864693,-1.07713864693,-0.0347464079655,nan,-1.59833476641,-1.59833476641,nan,0.486449711517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.486449711517,0.486449711517,0.486449711517,nan,nan,nan,nan,nan,0.486449711517,1.007645831,1.007645831,1.52884195048
NC_004741,-1.07713864693,0,-0.555942527448,-0.555942527448,nan,-1.07713864693,-1.07713864693,nan,1.007645831,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.007645831,1.007645831,1.007645831,nan,nan,nan,nan,nan,1.007645831,0.486449711517,0.486449711517,1.007645831
NC_003198,-1.07713864693,-0.555942527448,0,0.486449711517,nan,-1.07713864693,-1.07713864693,nan,1.007645831,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.007645831,1.007645831,1.007645831,nan,nan,nan,nan,nan,1.007645831,1.52884195048,1.52884195048,2.05003806997
NC_003143,-0.0347464079655,-0.555942527448,0.486449711517,0,nan,-0.0347464079655,-0.0347464079655,nan,-0.0347464079655,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.007645831,1.007645831,1.007645831,nan,nan,nan,nan,nan,1.007645831,0.486449711517,0.486449711517,-0.0347464079655
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,-1.59833476641,-1.07713864693,-1.07713864693,-0.0347464079655,nan,0,-1.59833476641,nan,0.486449711517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.486449711517,0.486449711517,0.486449711517,nan,nan,nan,nan,nan,0.486449711517,1.007645831,1.007645831,1.52884195048
NC_000907,-1.59833476641,-1.07713864693,-1.07713864693,-0.0347464079655,nan,-1.59833476641,0,nan,0.486449711517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.486449711517,0.486449711517,0.486449711517,nan,nan,nan,nan,nan,0.486449711517,1.007645831,1.007645831,1.52884195048
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,0.486449711517,1.007645831,1.007645831,-0.0347464079655,nan,0.486449711517,0.486449711517,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.555942527448,-0.555942527448,-0.555942527448,nan,nan,nan,nan,nan,-0.555942527448,-0.0347464079655,-0.0347464079655,-0.555942527448
NC_004603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004578,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004347,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002927,0.486449711517,1.007645831,1.007645831,1.007645831,nan,0.486449711517,0.486449711517,nan,-0.555942527448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1.59833476641,-1.59833476641,nan,nan,nan,nan,nan,-1.59833476641,-1.07713864693,-1.07713864693,-0.555942527448
NC_002928,0.486449711517,1.007645831,1.007645831,1.007645831,nan,0.486449711517,0.486449711517,nan,-0.555942527448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.59833476641,0,-1.59833476641,nan,nan,nan,nan,nan,-1.59833476641,-1.07713864693,-1.07713864693,-0.555942527448
NC_002929,0.486449711517,1.007645831,1.007645831,1.007645831,nan,0.486449711517,0.486449711517,nan,-0.555942527448,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.59833476641,-1.59833476641,0,nan,nan,nan,nan,nan,-1.59833476641,-1.07713864693,-1.07713864693,-0.555942527448
NC_005090,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
