Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,-1.2088051143,-1.2088051143,nan,nan,nan,nan,nan,nan,nan,nan,1.70717213511,nan,-0.0424142145369,nan,nan,nan,nan,nan,nan,nan,1.70717213511,nan,nan,-0.625609664419,-0.625609664419,-0.625609664419,nan,nan,nan,nan,-0.625609664419,nan
NC_004741,-1.2088051143,0,-1.2088051143,nan,nan,nan,nan,nan,nan,nan,nan,1.70717213511,nan,-0.0424142145369,nan,nan,nan,nan,nan,nan,nan,1.70717213511,nan,nan,-0.625609664419,-0.625609664419,-0.625609664419,nan,nan,nan,nan,-0.625609664419,nan
NC_003198,-1.2088051143,-1.2088051143,0,nan,nan,nan,nan,nan,nan,nan,nan,1.70717213511,nan,-0.0424142145369,nan,nan,nan,nan,nan,nan,nan,1.70717213511,nan,nan,-0.625609664419,-0.625609664419,-0.625609664419,nan,nan,nan,nan,-0.625609664419,nan
NC_003143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_000907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004578,1.70717213511,1.70717213511,1.70717213511,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0.540781235346,nan,nan,nan,nan,nan,nan,nan,-1.2088051143,nan,nan,1.12397668523,1.12397668523,1.12397668523,nan,nan,nan,nan,1.12397668523,nan
NC_002516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004347,-0.0424142145369,-0.0424142145369,-0.0424142145369,nan,nan,nan,nan,nan,nan,nan,nan,0.540781235346,nan,0,nan,nan,nan,nan,nan,nan,nan,0.540781235346,nan,nan,-0.625609664419,-0.625609664419,-0.625609664419,nan,nan,nan,nan,-0.625609664419,nan
NC_002488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002927,1.70717213511,1.70717213511,1.70717213511,nan,nan,nan,nan,nan,nan,nan,nan,-1.2088051143,nan,0.540781235346,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,1.12397668523,1.12397668523,1.12397668523,nan,nan,nan,nan,1.12397668523,nan
NC_002928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005090,-0.625609664419,-0.625609664419,-0.625609664419,nan,nan,nan,nan,nan,nan,nan,nan,1.12397668523,nan,-0.625609664419,nan,nan,nan,nan,nan,nan,nan,1.12397668523,nan,nan,0,-0.0424142145369,-1.2088051143,nan,nan,nan,nan,-0.0424142145369,nan
NC_002163,-0.625609664419,-0.625609664419,-0.625609664419,nan,nan,nan,nan,nan,nan,nan,nan,1.12397668523,nan,-0.625609664419,nan,nan,nan,nan,nan,nan,nan,1.12397668523,nan,nan,-0.0424142145369,0,-0.0424142145369,nan,nan,nan,nan,-1.2088051143,nan
NC_004917,-0.625609664419,-0.625609664419,-0.625609664419,nan,nan,nan,nan,nan,nan,nan,nan,1.12397668523,nan,-0.625609664419,nan,nan,nan,nan,nan,nan,nan,1.12397668523,nan,nan,-1.2088051143,-0.0424142145369,0,nan,nan,nan,nan,-0.0424142145369,nan
NC_004310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002678,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003047,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004463,-0.625609664419,-0.625609664419,-0.625609664419,nan,nan,nan,nan,nan,nan,nan,nan,1.12397668523,nan,-0.625609664419,nan,nan,nan,nan,nan,nan,nan,1.12397668523,nan,nan,-0.0424142145369,-1.2088051143,-0.0424142145369,nan,nan,nan,nan,0,nan
NC_002696,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
