Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,-0.290377736746,-1.34174540428,1.81235759831,-0.290377736746,nan,nan,-0.290377736746,nan,nan,-0.290377736746,0.760989930784,0.760989930784,1.81235759831,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.290377736746,nan,nan,nan,1.81235759831,nan,-0.290377736746,1.81235759831,nan
NC_004741,-0.290377736746,0,-0.290377736746,0.760989930784,-1.34174540428,nan,nan,-1.34174540428,nan,nan,-1.34174540428,-0.290377736746,-0.290377736746,0.760989930784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.34174540428,nan,nan,nan,0.760989930784,nan,-1.34174540428,0.760989930784,nan
NC_003198,-1.34174540428,-0.290377736746,0,1.81235759831,-0.290377736746,nan,nan,-0.290377736746,nan,nan,-0.290377736746,0.760989930784,0.760989930784,1.81235759831,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.290377736746,nan,nan,nan,1.81235759831,nan,-0.290377736746,1.81235759831,nan
NC_003143,1.81235759831,0.760989930784,1.81235759831,0,0.760989930784,nan,nan,0.760989930784,nan,nan,0.760989930784,-0.290377736746,-0.290377736746,-1.34174540428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.760989930784,nan,nan,nan,-1.34174540428,nan,0.760989930784,-1.34174540428,nan
NC_011833,-0.290377736746,-1.34174540428,-0.290377736746,0.760989930784,0,nan,nan,-1.34174540428,nan,nan,-1.34174540428,-0.290377736746,-0.290377736746,0.760989930784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.34174540428,nan,nan,nan,0.760989930784,nan,-1.34174540428,0.760989930784,nan
NC_002663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_000907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005061,-0.290377736746,-1.34174540428,-0.290377736746,0.760989930784,-1.34174540428,nan,nan,0,nan,nan,-1.34174540428,-0.290377736746,-0.290377736746,0.760989930784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.34174540428,nan,nan,nan,0.760989930784,nan,-1.34174540428,0.760989930784,nan
NC_004459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002947,-0.290377736746,-1.34174540428,-0.290377736746,0.760989930784,-1.34174540428,nan,nan,-1.34174540428,nan,nan,0,-0.290377736746,-0.290377736746,0.760989930784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.34174540428,nan,nan,nan,0.760989930784,nan,-1.34174540428,0.760989930784,nan
NC_004578,0.760989930784,-0.290377736746,0.760989930784,-0.290377736746,-0.290377736746,nan,nan,-0.290377736746,nan,nan,-0.290377736746,0,-1.34174540428,-0.290377736746,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.290377736746,nan,nan,nan,-0.290377736746,nan,-0.290377736746,-0.290377736746,nan
NC_002516,0.760989930784,-0.290377736746,0.760989930784,-0.290377736746,-0.290377736746,nan,nan,-0.290377736746,nan,nan,-0.290377736746,-1.34174540428,0,-0.290377736746,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.290377736746,nan,nan,nan,-0.290377736746,nan,-0.290377736746,-0.290377736746,nan
NC_004347,1.81235759831,0.760989930784,1.81235759831,-1.34174540428,0.760989930784,nan,nan,0.760989930784,nan,nan,0.760989930784,-0.290377736746,-0.290377736746,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.760989930784,nan,nan,nan,-1.34174540428,nan,0.760989930784,-1.34174540428,nan
NC_002488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002927,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002928,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002929,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005090,-0.290377736746,-1.34174540428,-0.290377736746,0.760989930784,-1.34174540428,nan,nan,-1.34174540428,nan,nan,-1.34174540428,-0.290377736746,-0.290377736746,0.760989930784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.760989930784,nan,-1.34174540428,0.760989930784,nan
NC_002163,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004917,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004310,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002678,1.81235759831,0.760989930784,1.81235759831,-1.34174540428,0.760989930784,nan,nan,0.760989930784,nan,nan,0.760989930784,-0.290377736746,-0.290377736746,-1.34174540428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.760989930784,nan,nan,nan,0,nan,0.760989930784,-1.34174540428,nan
NC_003062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003047,-0.290377736746,-1.34174540428,-0.290377736746,0.760989930784,-1.34174540428,nan,nan,-1.34174540428,nan,nan,-1.34174540428,-0.290377736746,-0.290377736746,0.760989930784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.34174540428,nan,nan,nan,0.760989930784,nan,0,0.760989930784,nan
NC_004463,1.81235759831,0.760989930784,1.81235759831,-1.34174540428,0.760989930784,nan,nan,0.760989930784,nan,nan,0.760989930784,-0.290377736746,-0.290377736746,-1.34174540428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.760989930784,nan,nan,nan,-1.34174540428,nan,0.760989930784,0,nan
NC_002696,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
