Organism,NC_000913,NC_004741,NC_003198,NC_003143,NC_011833,NC_002663,NC_000907,NC_005061,NC_004459,NC_004603,NC_002947,NC_004578,NC_002516,NC_004347,NC_002488,NC_003919,NC_007086,NC_003112,NC_005085,NC_004757,NC_003295,NC_002927,NC_002928,NC_002929,NC_005090,NC_002163,NC_004917,NC_004310,NC_002678,NC_003062,NC_003047,NC_004463,NC_002696
NC_000913,0,-1.17953564924,-1.17953564924,nan,nan,nan,nan,nan,nan,nan,nan,-1.17953564924,nan,-0.165872200674,nan,nan,nan,nan,nan,nan,nan,-1.17953564924,nan,nan,0.847791247891,-0.165872200674,1.86145469646,nan,nan,nan,nan,0.847791247891,nan
NC_004741,-1.17953564924,0,-1.17953564924,nan,nan,nan,nan,nan,nan,nan,nan,-1.17953564924,nan,-0.165872200674,nan,nan,nan,nan,nan,nan,nan,-1.17953564924,nan,nan,0.847791247891,-0.165872200674,1.86145469646,nan,nan,nan,nan,0.847791247891,nan
NC_003198,-1.17953564924,-1.17953564924,0,nan,nan,nan,nan,nan,nan,nan,nan,-1.17953564924,nan,-0.165872200674,nan,nan,nan,nan,nan,nan,nan,-1.17953564924,nan,nan,0.847791247891,-0.165872200674,1.86145469646,nan,nan,nan,nan,0.847791247891,nan
NC_003143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_011833,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002663,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_000907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_002947,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004578,-1.17953564924,-1.17953564924,-1.17953564924,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,-0.165872200674,nan,nan,nan,nan,nan,nan,nan,-1.17953564924,nan,nan,0.847791247891,-0.165872200674,1.86145469646,nan,nan,nan,nan,0.847791247891,nan
NC_002516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004347,-0.165872200674,-0.165872200674,-0.165872200674,nan,nan,nan,nan,nan,nan,nan,nan,-0.165872200674,nan,0,nan,nan,nan,nan,nan,nan,nan,-0.165872200674,nan,nan,-0.165872200674,-1.17953564924,0.847791247891,nan,nan,nan,nan,-0.165872200674,nan
NC_002488,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003919,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_007086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_005085,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_004757,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_003295,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
